#At time x allocated y bytes for process z from I to j
At time 11 allocated 109 bytes for process 1 from 0 to 127
At time 13 allocated 66 bytes for process 2 from 128 to 255
At time 14 allocated 148 bytes for process 3 from 256 to 511
At time 16 freed 148 bytes for process 3 from 256 to 511
At time 18 allocated 248 bytes for process 4 from 256 to 511
At time 20 allocated 197 bytes for process 5 from 512 to 767
At time 22 freed 197 bytes for process 5 from 512 to 767
At time 26 allocated 224 bytes for process 6 from 512 to 767
At time 32 freed 66 bytes for process 2 from 128 to 255
At time 32 allocated 213 bytes for process 7 from 768 to 1023
At time 36 freed 213 bytes for process 7 from 768 to 1023
At time 36 allocated 159 bytes for process 8 from 768 to 1023
At time 36 allocated 72 bytes for process 9 from 128 to 255
At time 40 freed 72 bytes for process 9 from 128 to 255
At time 41 freed 224 bytes for process 6 from 512 to 767
At time 41 allocated 200 bytes for process 10 from 512 to 767
At time 44 freed 200 bytes for process 10 from 512 to 767
At time 47 freed 159 bytes for process 8 from 768 to 1023
At time 66 freed 109 bytes for process 1 from 0 to 127
At time 94 freed 248 bytes for process 4 from 256 to 511
